CS	US	US_sound	condition	trial	episode_nr	valence
11_teddy.jpg	negative_06_drown.jpeg	negative_06_drown.wav	1	1	1	1
34_umbrella.jpg	negative_05_surgery.jpeg	negative_05_surgery.wav	1	2	2	1
06_guitar.jpg	negative_12_eye.jpeg	negative_12_eye.wav	1	3	3	1
04_beer.jpg	negative_08_car.jpeg	negative_08_car.wav	1	4	4	1
33_speaker.jpg	negative_13_mouth.jpeg	negative_13_mouth.wav	1	5	5	1
29_magnifier.jpg	negative_15_plane.jpeg	negative_15_plane.wav	1	6	6	1
18_binoculars.jpg	negative_07_abuse.jpeg	negative_07_abuse.wav	2	1	7	1
25_headphones.jpg	negative_16_foot.jpeg	negative_16_foot.wav	2	2	8	1
30_notebook.jpg	negative_18_chainsaw.jpeg	negative_18_chainsaw.wav	2	3	9	1
26_lamp.jpg	negative_04_burns.jpeg	negative_04_burns.wav	2	4	10	1
01_brush.jpg	negative_02_baby.jpeg	negative_02_baby.wav	2	5	11	1
05_leaf.jpg	negative_20_cat.jpeg	negative_20_cat.wav	2	6	12	1
20_racket.jpg	neutral_07_student.jpeg	neutral_07_student.wav	4	1	19	2
10_compass.jpg	neutral_08_car.jpeg	neutral_08_car.wav	4	2	20	2
07_tree.jpg	neutral_18_hammer.jpeg	neutral_18_hammer.wav	4	3	21	2
17_spaghetti.jpg	neutral_02_baby.jpeg	neutral_02_baby.wav	4	4	22	2
28_bulb.jpg	neutral_17_bike.jpeg	neutral_17_bike.wav	4	5	23	2
16_spatula.jpg	neutral_09_forrest.jpeg	neutral_09_forrest.wav	4	6	24	2
24_mouse.jpg	neutral_03_dog.jpeg	neutral_03_dog.wav	5	1	25	2
12_goose.jpg	neutral_13_toothbrush.jpeg	neutral_13_toothbrush.wav	5	2	26	2
14_workbench.jpg	neutral_04_lighter.jpeg	neutral_04_lighter.wav	5	3	27	2
36_sandwich.jpg	neutral_05_shave.jpeg	neutral_05_shave.wav	5	4	28	2
27_basket.jpg	neutral_16_cheese.jpeg	neutral_16_cheese.wav	5	5	29	2
22_clothespin.jpg	neutral_20_cat.jpeg	neutral_20_cat.wav	5	6	30	2
