CS	US	US_sound	condition	episode_nr	valence
04_beer.jpg	negative_20_cat.jpeg	negative_20_cat.wav	1	1	1
36_sandwich.jpg	negative_12_eye.jpeg	negative_12_eye.wav	1	2	1
09_woodencrate.jpg	negative_07_abuse.jpeg	negative_07_abuse.wav	1	3	1
03_barbecue.jpg	negative_02_baby.jpeg	negative_02_baby.wav	1	4	1
05_leaf.jpg	negative_04_burns.jpeg	negative_04_burns.wav	1	5	1
15_parkbench.jpg	negative_16_foot.jpeg	negative_16_foot.wav	1	6	1
19_bag.jpg	negative_05_surgery.jpeg	negative_05_surgery.wav	2	7	1
11_teddy.jpg	negative_06_drown.jpeg	negative_06_drown.wav	2	8	1
35_wateringcan.jpg	negative_10_leg.jpeg	negative_10_leg.wav	2	9	1
27_basket.jpg	negative_19_whip.jpeg	negative_19_whip.wav	2	10	1
18_binoculars.jpg	negative_17_hanged.jpeg	negative_17_hanged.wav	2	11	1
24_mouse.jpg	negative_11_feces.jpeg	negative_11_feces.wav	2	12	1
02_chain.jpg	negative_15_plane.jpeg	negative_15_plane.wav	3	13	1
17_spaghetti.jpg	negative_08_car.jpeg	negative_08_car.wav	3	14	1
07_tree.jpg	negative_18_chainsaw.jpeg	negative_18_chainsaw.wav	3	15	1
01_brush.jpg	negative_09_shot.jpeg	negative_09_shot.wav	3	16	1
31_pen.jpg	negative_03_dog.jpeg	negative_03_dog.wav	3	17	1
33_speaker.jpg	negative_13_mouth.jpeg	negative_13_mouth.wav	3	18	1
06_guitar.jpg	neutral_15_plane.jpeg	neutral_15_plane.wav	4	19	2
30_notebook.jpg	neutral_18_hammer.jpeg	neutral_18_hammer.wav	4	20	2
20_racket.jpg	neutral_03_dog.jpeg	neutral_03_dog.wav	4	21	2
16_spatula.jpg	neutral_08_car.jpeg	neutral_08_car.wav	4	22	2
08_gem.jpg	neutral_07_student.jpeg	neutral_07_student.wav	4	23	2
28_bulb.jpg	neutral_16_cheese.jpeg	neutral_16_cheese.wav	4	24	2
25_headphones.jpg	neutral_12_slice.jpeg	neutral_12_slice.wav	5	25	2
12_goose.jpg	neutral_10_walk.jpeg	neutral_10_walk.wav	5	26	2
21_bowl.jpg	neutral_19_market.jpeg	neutral_19_market.wav	5	27	2
34_umbrella.jpg	neutral_11_soup.jpeg	neutral_11_soup.wav	5	28	2
10_compass.jpg	neutral_04_lighter.jpeg	neutral_04_lighter.wav	5	29	2
32_printer.jpg	neutral_02_baby.jpeg	neutral_02_baby.wav	5	30	2
22_clothespin.jpg	neutral_20_cat.jpeg	neutral_20_cat.wav	6	31	2
14_workbench.jpg	neutral_09_forrest.jpeg	neutral_09_forrest.wav	6	32	2
23_coffeepot.jpg	neutral_05_shave.jpeg	neutral_05_shave.wav	6	33	2
13_rollator.jpg	neutral_06_swim.jpeg	neutral_06_swim.wav	6	34	2
26_lamp.jpg	neutral_17_bike.jpeg	neutral_17_bike.wav	6	35	2
29_magnifier.jpg	neutral_13_toothbrush.jpeg	neutral_13_toothbrush.wav	6	36	2
