CS	US	US_sound	US_cue	condition	epsiode_nr	valence
07_tree.jpg	negative_19_whip.jpeg	negative_19_whip.wav	Whip	1	1	1
30_notebook.jpg	negative_12_eye.jpeg	negative_12_eye.wav	Eye	1	2	1
11_teddy.jpg	negative_03_dog.jpeg	negative_03_dog.wav	Ribcage	1	3	1
31_pen.jpg	negative_11_feces.jpeg	negative_11_feces.wav	Toilet	1	4	1
26_lamp.jpg	negative_18_chainsaw.jpeg	negative_18_chainsaw.wav	Saw	1	5	1
32_printer.jpg	negative_06_drown.jpeg	negative_06_drown.wav	Riverbank	1	6	1
23_coffeepot.jpg	negative_02_baby.jpeg	negative_02_baby.wav	Bathtub	2	7	1
24_mouse.jpg	negative_05_surgery.jpeg	negative_05_surgery.wav	Gimace	2	8	1
06_guitar.jpg	negative_08_car.jpeg	negative_08_car.wav	Hood of car	2	9	1
15_parkbench.jpg	negative_04_burns.jpeg	negative_04_burns.wav	No lips	2	10	1
14_workbench.jpg	negative_10_leg.jpeg	negative_10_leg.wav	Fracture	2	11	1
02_chain.jpg	negative_13_mouth.jpeg	negative_13_mouth.wav	Tongue	2	12	1
29_magnifier.jpg	negative_16_foot.jpeg	negative_16_foot.wav	Toe	3	13	1
19_bag.jpg	negative_20_cat.jpeg	negative_20_cat.wav	In the vet's hand	3	14	1
09_woodencrate.jpg	negative_09_shot.jpeg	negative_09_shot.wav	Weapon	3	15	1
12_goose.jpg	negative_17_hanged.jpeg	negative_17_hanged.wav	Tied up	3	16	1
01_brush.jpg	negative_07_abuse.jpeg	negative_07_abuse.wav	Black eye	3	17	1
25_headphones.jpg	negative_15_plane.jpeg	negative_15_plane.wav	Debris	3	18	1
35_wateringcan.jpg	neutral_17_bike.jpeg	neutral_17_bike.wav	Bike	4	19	2
18_binoculars.jpg	neutral_12_slice.jpeg	neutral_12_slice.wav	Slices	4	20	2
03_barbecue.jpg	neutral_15_plane.jpeg	neutral_15_plane.wav	In the sky	4	21	2
22_clothespin.jpg	neutral_20_cat.jpeg	neutral_20_cat.wav	Shiny fur	4	22	2
21_bowl.jpg	neutral_08_car.jpeg	neutral_08_car.wav	Road	4	23	2
20_racket.jpg	neutral_02_baby.jpeg	neutral_02_baby.wav	Crawling	4	24	2
28_bulb.jpg	neutral_06_swim.jpeg	neutral_06_swim.wav	Lake	5	25	2
08_gem.jpg	neutral_07_student.jpeg	neutral_07_student.wav	Books	5	26	2
16_spatula.jpg	neutral_13_toothbrush.jpeg	neutral_13_toothbrush.wav	Brush	5	27	2
05_leaf.jpg	neutral_19_market.jpeg	neutral_19_market.wav	Pile of fruit	5	28	2
04_beer.jpg	neutral_16_cheese.jpeg	neutral_16_cheese.wav	Cheese	5	29	2
17_spaghetti.jpg	neutral_09_forrest.jpeg	neutral_09_forrest.wav	Forest	5	30	2
27_basket.jpg	neutral_05_shave.jpeg	neutral_05_shave.wav	Ginger hair	6	31	2
10_compass.jpg	neutral_18_hammer.jpeg	neutral_18_hammer.wav	Tool	6	32	2
13_rollator.jpg	neutral_11_soup.jpeg	neutral_11_soup.wav	Vegetables	6	33	2
34_umbrella.jpg	neutral_10_walk.jpeg	neutral_10_walk.wav	Shoes	6	34	2
33_speaker.jpg	neutral_04_lighter.jpeg	neutral_04_lighter.wav	Flame	6	35	2
36_sandwich.jpg	neutral_03_dog.jpeg	neutral_03_dog.wav	Leash	6	36	2
